basket,"『かご』,『バスケット』 / (…の)かご1杯(basketful)"
bath,"『入浴』;水浴び / (また『bathtub』,『tub』)浴槽(よくそう),ふろ[がま]"
bathe,"を'『入浴させる』(bath) / …'を'『浸す』,『洗う』"
battle,"(個々の)『戦闘』,戦い;『戦争』 / 闘争"
bay,"『湾』,『入り江』"
be,"(…に)『ある』,いる(occupy a place or situation) / 『存在する』,ある(exist);生存する,生きている(live)"
beam,"(建設の)『はり』,『けた』,横材 / (船の甲板を支える)横はり"
bear,『クマ』 / 乱暴者
beard,(人の)『あごひげ』 / (動物の)あごひげ;(一般に)ひげ状のもの
beat,"(連続して)…'を'『たたく』,打つ(pound) / (…に)…'を'『たたきつける』,打ちつける"
beauty,"『美しさ』,美 / 『美点』,美観,よさ"
because,"(なぜならば)『…だから』,『…ゆえに』 / …『であるからといって』"
become,"《『become』+『名』(『形』,『過分』)」(…と)『なる』 / ‘に'『似合う;‘に'『ふさわしい』"
bed,"『ベット』,『寝台』 / 睡眠,宿泊"
bedroom,『寝室』;(列車内の)寝室
before,"…『の前に』,を前にして / …『より前に』(earlier than…)"
beg,"(…に)'を'『くださいと頼む』,'を'懇願する(ask for) / ‘に'『懇願する』,熱心に頼む"
begin,"『始まる,開始する』 / 発生する,起こる"
behave,"(…に)『ふるまう』 / 『行儀よくする』,ちゃんとしている"
behavior,"『ふるまい』,行動;(相手への反応として示す)『態度』;行儀,品行 / (ある状況での物の)作用,反応;(車などの)調子"
behind,"…『の後ろに』,『の陰に』[隠れて] / …の陰に隠されて,の裏に(at the back of)"
being,"存在,実在(existence);生命(life) / 本質,本性(nature)"
belief,"『信念』,確信,所信 / (人・物への)『信頼』,信用"
believe,"(現実・真実であると)'を'『信じる』,信用する / 'を'『信じる』,信用する;‘の'言ったことを信じる"
bell,"『鐘』,釣り鐘;『鈴』,『ベル』,りん / 鐘(鈴,ベル)の音"
belong,"(…の)所有である / (…の)『一部』(付属物)である,(…に)属する,所属する,(…の)一員である"
